,,,,,,
Rally,Rotation,Stage,Action Type,Action,Point To,Score
,,,,,,
1,1,serve,in_rally,1-Serve,none,0 -- 0
1,1,serve,earned,Spike,them,0 -- 1
2,1,receive,errors,Serve,us,1 -- 1
3,2,serve,in_rally,1-Serve,none,1 -- 1
3,2,serve,earned,Spike,them,1 -- 2
4,2,receive,in_rally,1-Pass,none,1 -- 2
5,2,receive,in_rally,Hit Still In Play,none,1 -- 2
6,2,receive,in_rally,Dig,none,1 -- 2
7,2,receive,in_rally,Dig,none,1 -- 2
7,2,receive,earned,Block,us,2 -- 2
8,3,serve,in_rally,1-Serve,none,2 -- 2
8,3,serve,earned,Spike,them,2 -- 3
9,3,receive,in_rally,Over Pass in Play,none,2 -- 3
9,3,receive,faults,Net,us,3 -- 3
10,4,serve,in_rally,3-Serve,none,3 -- 3
10,4,serve,errors,Tip,us,4 -- 3
11,4,serve,in_rally,2-Serve,none,4 -- 3
11,4,serve,earned,Spike,them,4 -- 4
12,4,receive,errors,Serve,us,5 -- 4
13,5,serve,in_rally,3-Serve,none,5 -- 4
13,5,serve,earned,Block,us,6 -- 4
14,5,serve,faults,Out of Rotation,us,7 -- 4
15,5,serve,in_rally,2-Serve,none,7 -- 4
16,5,serve,in_rally,Dig,none,7 -- 4
17,5,serve,in_rally,Hit Still In Play,none,7 -- 4
18,5,serve,in_rally,3-FB Pass,none,7 -- 4
18,5,serve,errors,Spike,them,7 -- 5
19,5,receive,errors,Serve,us,8 -- 5
20,6,serve,in_rally,3-Serve,none,8 -- 5
21,6,serve,in_rally,Dig,none,8 -- 5
21,6,serve,errors,Spike,us,9 -- 5
22,6,serve,in_rally,2-Serve,none,9 -- 5
23,6,serve,in_rally,Dig,none,9 -- 5
24,6,serve,in_rally,Hit Still In Play,none,9 -- 5
24,6,serve,errors,Dig,them,9 -- 6
25,6,receive,in_rally,3-Pass,none,9 -- 6
26,6,receive,in_rally,Hit Still In Play,none,9 -- 6
27,6,receive,in_rally,Dig,none,9 -- 6
28,6,receive,in_rally,Hit Still In Play,none,9 -- 6
28,6,receive,errors,3rd Ball Return,us,10 -- 6
29,1,serve,in_rally,1-Serve,none,10 -- 6
29,1,serve,errors,Spike,us,11 -- 6
30,1,serve,in_rally,3-Serve,none,11 -- 6
31,1,serve,in_rally,Dig,none,11 -- 6
32,1,serve,in_rally,Dig,none,11 -- 6
33,1,serve,in_rally,3-FB Pass,none,11 -- 6
33,1,serve,earned,Spike,us,12 -- 6
34,1,serve,in_rally,2-Serve,none,12 -- 6
34,1,serve,errors,Spike,us,13 -- 6
35,1,serve,errors,Serve,them,13 -- 7
36,1,receive,in_rally,3-Pass,none,13 -- 7
36,1,receive,earned,Spike,us,14 -- 7
37,2,serve,in_rally,3-Serve,none,14 -- 7
37,2,serve,earned,Tip,us,15 -- 7
38,2,serve,earned,Ace,us,16 -- 7
undefined,2,serve,timeout,them 1,undefined,undefined
39,2,serve,in_rally,3-Serve,none,16 -- 7
39,2,serve,errors,Dig,them,16 -- 8
40,2,receive,in_rally,2-Pass,none,16 -- 8
41,2,receive,in_rally,Hit Still In Play,none,16 -- 8
41,2,receive,earned,Tip,them,16 -- 9
42,2,receive,in_rally,1-Pass,none,16 -- 9
42,2,receive,errors,Spike,them,16 -- 10
43,2,receive,in_rally,1-Pass,none,16 -- 10
44,2,receive,in_rally,Hit Still In Play,none,16 -- 10
44,2,receive,errors,Tip,us,17 -- 10
45,3,serve,in_rally,3-Serve,none,17 -- 10
45,3,serve,faults,Under,us,18 -- 10
46,3,serve,errors,Serve,them,18 -- 11
47,3,receive,in_rally,1-Pass,none,18 -- 11
48,3,receive,in_rally,Dig,none,18 -- 11
49,3,receive,in_rally,Hit Still In Play,none,18 -- 11
49,3,receive,earned,Spike,them,18 -- 12
50,3,receive,in_rally,2-Pass,none,18 -- 12
50,3,receive,earned,Spike,us,19 -- 12
51,4,serve,in_rally,3-Serve,none,19 -- 12
52,4,serve,in_rally,Hit Still In Play,none,19 -- 12
52,4,serve,earned,Spike,them,19 -- 13
53,4,receive,in_rally,1-Pass,none,19 -- 13
54,4,receive,in_rally,Hit Still In Play,none,19 -- 13
55,4,receive,in_rally,3-FB Pass,none,19 -- 13
56,4,receive,in_rally,Hit Still In Play,none,19 -- 13
56,4,receive,errors,3rd Ball Return,us,20 -- 13
57,5,serve,in_rally,3-Serve,none,20 -- 13
58,5,serve,in_rally,3-FB Pass,none,20 -- 13
59,5,serve,in_rally,Hit Still In Play,none,20 -- 13
59,5,serve,errors,Free Ball Receive,them,20 -- 14
60,5,receive,in_rally,3-Pass,none,20 -- 14
60,5,receive,earned,Spike,us,21 -- 14
61,6,serve,faults,Out of Rotation,us,22 -- 14
62,6,serve,earned,Ace,us,23 -- 14
63,6,serve,errors,Serve,them,23 -- 15
64,6,receive,in_rally,3-Pass,none,23 -- 15
64,6,receive,errors,Spike,them,23 -- 16
65,6,receive,in_rally,3-Pass,none,23 -- 16
66,6,receive,in_rally,Hit Still In Play,none,23 -- 16
67,6,receive,in_rally,2-FB Pass,none,23 -- 16
67,6,receive,errors,Spike,them,23 -- 17
68,6,receive,in_rally,3-Pass,none,23 -- 17
69,6,receive,in_rally,Hit Still In Play,none,23 -- 17
69,6,receive,faults,Ball Handling,us,24 -- 17
70,1,serve,in_rally,3-Serve,none,24 -- 17
70,1,serve,errors,Free Ball Receive,them,24 -- 18
71,1,receive,in_rally,3-Pass,none,24 -- 18
72,1,receive,in_rally,Hit Still In Play,none,24 -- 18
73,1,receive,in_rally,Dig,none,24 -- 18
73,1,receive,earned,Spike,us,25 -- 18
,,,,,,
,,,,,,
Rally,Rotation,Stage,Action Type,Action,Point To,Score
,,,,,,
1,6,receive,in_rally,3-Pass,none,0 -- 0
1,6,receive,earned,Tip,us,1 -- 0
2,1,serve,in_rally,3-Serve,none,1 -- 0
3,1,serve,in_rally,3-FB Pass,none,1 -- 0
3,1,serve,earned,Spike,us,2 -- 0
4,1,serve,in_rally,1-Serve,none,2 -- 0
5,1,serve,in_rally,Dig,none,2 -- 0
5,1,serve,earned,Spike,us,3 -- 0
6,1,serve,earned,Ace,us,4 -- 0
7,1,serve,in_rally,2-Serve,none,4 -- 0
7,1,serve,faults,Ball Handling,us,5 -- 0
8,1,serve,errors,Serve,them,5 -- 1
9,1,receive,in_rally,3-Pass,none,5 -- 1
9,1,receive,earned,Spike,us,6 -- 1
10,2,serve,earned,Ace,us,7 -- 1
11,2,serve,errors,Serve,them,7 -- 2
12,2,receive,in_rally,2-Pass,none,7 -- 2
12,2,receive,earned,Spike,us,8 -- 2
13,3,serve,in_rally,1-Serve,none,8 -- 2
13,3,serve,earned,Spike,them,8 -- 3
14,3,receive,in_rally,3-Pass,none,8 -- 3
15,3,receive,in_rally,Hit Still In Play,none,8 -- 3
15,3,receive,errors,Spike,them,8 -- 4
16,3,receive,in_rally,1-Pass,none,8 -- 4
17,3,receive,in_rally,Dig,none,8 -- 4
17,3,receive,earned,Spike,them,8 -- 5
18,3,receive,errors,Serve,us,9 -- 5
19,4,serve,in_rally,2-Serve,none,9 -- 5
19,4,serve,earned,Block,us,10 -- 5
20,4,serve,earned,Ace,us,11 -- 5
21,4,serve,in_rally,1-Serve,none,11 -- 5
