,,,,,,
Rally,Rotation,Stage,Action Type,Action,Point To,Score
,,,,,,
1,6,receive,in_rally,3-Pass,none,0 -- 0
2,6,receive,in_rally,Hit Still In Play,none,0 -- 0
3,6,receive,in_rally,Dig,none,0 -- 0
3,6,receive,earned,Tip,us,1 -- 0
4,1,serve,in_rally,3-Serve,none,1 -- 0
5,1,serve,in_rally,Dig,none,1 -- 0
6,1,serve,in_rally,Hit Still In Play,none,1 -- 0
7,1,serve,in_rally,3-FB Pass,none,1 -- 0
8,1,serve,in_rally,Hit Still In Play,none,1 -- 0
8,1,serve,errors,Whose Ball?,us,2 -- 0
9,1,serve,in_rally,3-Serve,none,2 -- 0
9,1,serve,errors,Whose Ball?,us,3 -- 0
10,1,serve,in_rally,2-Serve,none,3 -- 0
10,1,serve,earned,Spike,them,3 -- 1
11,1,receive,in_rally,3-Pass,none,3 -- 1
12,1,receive,in_rally,Hit Still In Play,none,3 -- 1
13,1,receive,in_rally,Dig,none,3 -- 1
13,1,receive,earned,Spike,us,4 -- 1
14,2,serve,earned,Ace,us,5 -- 1
15,2,serve,in_rally,1-Serve,none,5 -- 1
16,2,serve,in_rally,Dig,none,5 -- 1
16,2,serve,earned,Spike,us,6 -- 1
17,2,serve,earned,Ace,us,7 -- 1
18,2,serve,earned,Ace,us,8 -- 1
19,2,serve,errors,Serve,them,8 -- 2
20,2,receive,in_rally,3-Pass,none,8 -- 2
20,2,receive,earned,Spike,us,9 -- 2
21,3,serve,earned,Ace,us,10 -- 2
22,3,serve,in_rally,2-Serve,none,10 -- 2
23,3,serve,in_rally,Dig,none,10 -- 2
24,3,serve,in_rally,Dig,none,10 -- 2
25,3,serve,in_rally,Hit Still In Play,none,10 -- 2
26,3,serve,in_rally,Dig,none,10 -- 2
26,3,serve,errors,Spike,them,10 -- 3
27,3,receive,in_rally,1-Pass,none,10 -- 3
27,3,receive,faults,Back Row Attack,them,10 -- 4
28,3,receive,in_rally,3-Pass,none,10 -- 4
28,3,receive,earned,Spike,us,11 -- 4
29,4,serve,earned,Ace,us,12 -- 4
30,4,serve,in_rally,2-Serve,none,12 -- 4
31,4,serve,in_rally,Dig,none,12 -- 4
31,4,serve,earned,Down Ball Hit,us,13 -- 4
undefined,4,serve,timeout,them 1,undefined,undefined
32,4,serve,in_rally,1-Serve,none,13 -- 4
32,4,serve,faults,Out of Rotation,them,13 -- 5
33,4,receive,earned,Spike,us,14 -- 5
34,5,serve,earned,Ace,us,15 -- 5
35,5,serve,in_rally,3-Serve,none,15 -- 5
36,5,serve,in_rally,Dig,none,15 -- 5
36,5,serve,earned,Spike,us,16 -- 5
37,5,serve,in_rally,3-Serve,none,16 -- 5
38,5,serve,in_rally,Over Pass in Play,none,16 -- 5
38,5,serve,errors,Whose Ball?,us,17 -- 5
39,5,serve,errors,Serve,them,17 -- 6
40,5,receive,in_rally,2-Pass,none,17 -- 6
40,5,receive,earned,Tip,us,18 -- 6
41,6,serve,errors,Serve,them,18 -- 7
42,6,receive,in_rally,2-Pass,none,18 -- 7
43,6,receive,in_rally,Hit Still In Play,none,18 -- 7
43,6,receive,earned,Tip,us,19 -- 7
44,1,serve,in_rally,2-Serve,none,19 -- 7
45,1,serve,in_rally,Dig,none,19 -- 7
45,1,serve,earned,Spike,us,20 -- 7
46,1,serve,earned,Ace,us,21 -- 7
47,1,serve,in_rally,1-Serve,none,21 -- 7
47,1,serve,earned,Tip,them,21 -- 8
48,1,receive,in_rally,3-Pass,none,21 -- 8
48,1,receive,earned,Spike,us,22 -- 8
49,2,serve,in_rally,2-Serve,none,22 -- 8
49,2,serve,earned,Block,us,23 -- 8
50,2,serve,in_rally,1-Serve,none,23 -- 8
51,2,serve,in_rally,Dig,none,23 -- 8
51,2,serve,earned,Spike,us,24 -- 8
52,2,serve,earned,Ace,us,25 -- 8
,,,,,,
,,,,,,
Rally,Rotation,Stage,Action Type,Action,Point To,Score
,,,,,,
1,1,serve,in_rally,2-Serve,none,0 -- 0
1,1,serve,faults,Ball Handling,us,1 -- 0
2,1,serve,in_rally,3-Serve,none,1 -- 0
3,1,serve,in_rally,Hit Still In Play,none,1 -- 0
3,1,serve,errors,Whose Ball?,us,2 -- 0
4,1,serve,errors,Serve,them,2 -- 1
5,1,receive,in_rally,2-Pass,none,2 -- 1
5,1,receive,faults,Under,them,2 -- 2
6,1,receive,in_rally,2-Pass,none,2 -- 2
6,1,receive,errors,Spike,them,2 -- 3
7,1,receive,in_rally,2-Pass,none,2 -- 3
7,1,receive,errors,Spike,them,2 -- 4
8,1,receive,in_rally,3-Pass,none,2 -- 4
8,1,receive,earned,Spike,us,3 -- 4
9,2,serve,in_rally,2-Serve,none,3 -- 4
9,2,serve,errors,Whose Ball?,us,4 -- 4
10,2,serve,in_rally,3-Serve,none,4 -- 4
10,2,serve,earned,Spike,us,5 -- 4
11,2,serve,in_rally,3-Serve,none,5 -- 4
11,2,serve,errors,Whose Ball?,us,6 -- 4
12,2,serve,in_rally,3-Serve,none,6 -- 4
13,2,serve,in_rally,Dig,none,6 -- 4
13,2,serve,errors,Spike,them,6 -- 5
14,2,receive,faults,Out of Rotation,them,6 -- 6
15,2,receive,in_rally,3-Pass,none,6 -- 6
15,2,receive,earned,Spike,us,7 -- 6
16,3,serve,errors,Serve,them,7 -- 7
17,3,receive,errors,Serve,us,8 -- 7
18,4,serve,in_rally,3-Serve,none,8 -- 7
18,4,serve,errors,Whose Ball?,us,9 -- 7
19,4,serve,in_rally,2-Serve,none,9 -- 7
20,4,serve,in_rally,Dig,none,9 -- 7
21,4,serve,in_rally,Dig,none,9 -- 7
21,4,serve,errors,Spike,them,9 -- 8
22,4,receive,errors,Serve,us,10 -- 8
23,5,serve,in_rally,3-Serve,none,10 -- 8
